threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,431.7014100000083,431.7014100000083,4.518100000000004,5814,-2.9617197583320376e-11,431.7014100000083,431.7014100000379,-2.9615421226480976e-11
1,125.54724,431.7014100000083,4.518100000000004,47,251.0726999999024,431.7014100000083,-125.5254599999024,557.2268699999107
2,41.53296,431.7014100000083,4.518100000000004,8,2044.381199999858,431.7014100000083,-2002.848239999858,2434.5496499998662
3,28.640640000000005,431.7014100000083,4.518100000000004,4,581.1624000002048,431.7014100000083,-552.5217600002048,984.2231700002131
4,17.155320000000003,431.7014100000083,4.518100000000004,2,62.7015000001993,431.7014100000083,-45.5461800001993,477.2475900002076
5,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
6,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
7,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
8,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
9,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
10,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
11,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
12,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
13,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
14,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
15,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
16,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
17,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
18,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
19,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
20,0,431.7014100000083,4.518100000000004,0,0,431.7014100000083,0,431.7014100000083
