threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
10,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
11,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
12,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
13,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
14,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
15,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
16,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
17,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
18,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
19,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
20,2.4200000000000004,-1111,-459.090909090909,0,4.573800000000001,0.37,0,0,0,0,0,0,0,1111,0,0,0,0,-1111,-1111,-1111,-1111,7683.999999999767,7683.999999999767,7683.999999999767,7683.999999999767
